	Steps	Time [s]	[A] Acceleration Y on Body-1 - 1 Node - Tip [m/s²]	[B] Acceleration Y on Body-1 - 1 Node - Tip [Filtered] [m/s²]	[C] Position Y on Body-1 - 1 Node-Tip [m]	[D] Kinetic Energy on Body-1-Flare-1 - 2 Bodies [J]	[E] Position Z on Body-1 - 1 Node-Tip [m]	[F] Position Y on Body-1 - 1 Node-Tail [m]	[G] Acceleration Z on Body-1 - 1 Node - Tip [m/s²]	[H] Acceleration Z on Body-1 - 1 Node - Tip [Filtered] [m/s²]	[I] Position Z on Body-1 - 1 Node-Tail [m]	
1	1	0.	0.	138.92	1.048e-002	75922	-4.3477e-004	2.2981	0.	39.236	-2.4816e-003	
2	1	1.5025e-003	552.48	329.03	-5.3062e-002	74855	-4.0977e-004	2.2346	-29.179	-303.02	-2.4982e-003	
3	1	3.0385e-003	538.94	500.31	-0.11736	73474	-3.5833e-004	2.1703	-987.36	-525.46	-2.514e-003	
4	1	4.3661e-003	531.63	634.61	-0.17256	71712	-7.7457e-004	2.1151	-770.62	-522.97	-2.2638e-003	
5	1	5.5571e-003	709.26	732.95	-0.22152	70266	-1.7516e-003	2.0661	-618.74	-296.07	-1.7993e-003	
6	1	6.6098e-003	931.38	789.66	-0.26438	68967	-2.7186e-003	2.0231	350.88	14.689	-1.417e-003	
7	1	7.5443e-003	790.95	800.52	-0.30193	66973	-3.409e-003	1.9856	537.12	208.9	-1.2287e-003	
8	1	8.4321e-003				65239						
9	1	8.4321e-003	842.23	784.74	-0.33711		-4.0885e-003	1.9503	671.98	166.32	-1.1122e-003	
10	1	9.2949e-003				63851						
11	1	9.2949e-003	588.95	779.84	-0.37086		-4.712e-003	1.9165	-181.14	-62.549	-1.0962e-003	
12	1	1.0087e-002	744.75	810.07	-0.40151	62222	-5.4284e-003	1.8858	-925.83	-302.12	-1.0691e-003	
13	1	1.0814e-002	763.92	855.12	-0.42928	60503	-6.3064e-003	1.8579	-300.45	-403.07	-9.7755e-004	
14	1	1.1496e-002	1329.4	860.	-0.455	59124	-7.1903e-003	1.8322	-674.91	-342.82	-8.5579e-004	
15	1	1.2143e-002	682.92	796.42	-0.47909	57457	-8.2422e-003	1.808	527.68	-189.78	-6.2216e-004	
16	1	1.2762e-002				56707						
17	1	1.2762e-002	472.79	695.69	-0.50188		-9.3551e-003	1.7851	-787.04	-16.095	-3.2125e-004	
18	1	1.3359e-002	869.59	605.8	-0.52359	55100	-1.0673e-002	1.7633	711.28	126.32	1.1846e-004	
19	1	1.3952e-002	338.14	557.76	-0.54493	54194	-1.1936e-002	1.7419	359.35	199.92	5.4693e-004	
20	1	1.4544e-002	483.9	569.1	-0.56605	53115	-1.3153e-002	1.7207	-451.72	206.31	9.0834e-004	
21	1	1.5138e-002	697.55	630.87	-0.58705	52395	-1.4447e-002	1.6996	954.61	170.76	1.2928e-003	
22	1	1.5722e-002	771.76	706.42	-0.60751	51223	-1.5601e-002	1.679	-245.11	120.07	1.6026e-003	
23	1	1.6288e-002	670.26	759.5	-0.62718	50525	-1.6787e-002	1.6592	-321.6	93.405	1.9542e-003	
24	1	1.6851e-002	874.88	765.27	-0.64657	49656	-1.7985e-002	1.6397	618.7	100.12	2.3509e-003	
25	1	1.741e-002	733.6	707.82	-0.66565	48931	-1.9079e-002	1.6205	-16.187	107.13	2.7318e-003	
26	1	1.7953e-002	720.38	592.09	-0.68405	47938	-2.0145e-002	1.602	241.92	106.78	3.1341e-003	
27	1	1.8489e-002	439.86	457.89	-0.70199	47063	-2.1164e-002	1.5839	-497.8	120.74	3.5533e-003	
28	1	1.9015e-002	-68.579	361.76	-0.71947	46542	-2.221e-002	1.5664	591.7	129.66	4.0261e-003	
29	1	1.9527e-002	765.15	330.37	-0.73643	45964	-2.3177e-002	1.5493	315.75	72.272	4.4649e-003	
30	1	2.0028e-002	84.148	353.57	-0.75286	45255	-2.4133e-002	1.5327	-5.3794	-61.67	4.9293e-003	
31	1	2.0524e-002	385.34	412.96	-0.76901	44592	-2.5112e-002	1.5165	-576.13	-194.01	5.4153e-003	
32	1	2.1013e-002	690.83	482.8	-0.78482	43763	-2.614e-002	1.5005	-224.27	-237.59	5.9761e-003	
33	1	2.1493e-002	578.21	539.53	-0.80016	42971	-2.7164e-002	1.4851	71.333	-158.97	6.584e-003	
34	1	2.1972e-002	407.78	588.95	-0.81533	42235	-2.8177e-002	1.4698	-378.85	44.093	7.2293e-003	
35	1	2.2455e-002	587.39	645.72	-0.83051	41344	-2.9214e-002	1.4545	491.5	356.28	7.9237e-003	
36	1	2.2941e-002	821.97	695.5	-0.84561	40564	-3.0198e-002	1.4393	303.68	711.	8.6118e-003	
37	1	2.3429e-002	750.26	706.95	-0.86065	39700	-3.1111e-002	1.4241	894.77	959.88	9.2556e-003	
38	1	2.3921e-002	721.07	668.63	-0.87563	38841	-3.1823e-002	1.409	2637.1	924.07	9.8184e-003	
39	1	2.4415e-002	519.17	598.34	-0.89053	38065	-3.2372e-002	1.394	-74.762	575.34	1.0311e-002	
40	1	2.4908e-002	565.88	525.67	-0.90526	37375	-3.2874e-002	1.3792	-435.16	110.98	1.079e-002	
41	1	2.5405e-002	341.55	473.46	-0.91995	36715	-3.3403e-002	1.3644	-267.36	-247.94	1.1277e-002	
42	1	2.5908e-002	528.59	448.18	-0.9347	35894	-3.3899e-002	1.3496	-261.68	-422.68	1.179e-002	
43	1	2.6412e-002	256.59	436.46	-0.94929	35221	-3.4353e-002	1.3348	-375.04	-413.68	1.2314e-002	
44	1	2.6917e-002	746.05	411.35	-0.96379	34390	-3.4816e-002	1.3202	-958.13	-229.43	1.2881e-002	
45	1	2.7419e-002	288.28	359.08	-0.97806	33746	-3.537e-002	1.3059	414.23	62.024	1.3508e-002	
46	1	2.7914e-002	113.9	297.38	-0.992	33346	-3.5886e-002	1.2918	622.08	311.13	1.4103e-002	
47	1	2.8401e-002	308.	246.14	-1.0056	32988	-3.6252e-002	1.2781	664.3	394.52	1.4624e-002	
48	1	2.8883e-002	105.46	194.19	-1.019	32346	-3.6499e-002	1.2646	263.47	313.53	1.5094e-002	
49	1	2.9369e-002	493.87	116.01	-1.0324	31934	-3.6641e-002	1.2512	222.04	176.26	1.5502e-002	
50	1	2.987e-002	241.68	29.867	-1.0461	31619	-3.6773e-002	1.2374	-865.58	101.5	1.5908e-002	
51	1	3.0388e-002	-973.43	17.876	-1.0602	31143	-3.6993e-002	1.2232	694.73	105.61	1.6377e-002	
52	1	3.0916e-002	342.04	125.34	-1.0746	30720	-3.7108e-002	1.2088	572.35	105.68	1.6777e-002	
53	1	3.1447e-002	630.49	275.45	-1.0889	30392	-3.7095e-002	1.1944	-831.67	43.366	1.7147e-002	
54	1	3.1975e-002	481.6	359.58	-1.103	30109	-3.7104e-002	1.1803	1233.6	-70.158	1.7551e-002	
55	1	3.2504e-002	85.376	347.02	-1.117	29720	-3.6988e-002	1.1661	-1507.5	-185.38	1.7923e-002	
56	1	3.3041e-002	716.13	268.76	-1.1312	29311	-3.6955e-002	1.1518	513.22	-243.8	1.8378e-002	
57	1	3.3592e-002	-557.24	167.61	-1.1457	28630	-3.6674e-002	1.1373	-983.29	-232.77	1.8746e-002	
58	1	3.4152e-002	815.36	72.512	-1.1602	28199	-3.6385e-002	1.1226	686.61	-194.2	1.9195e-002	
59	1	3.4708e-002	-559.98	-1.8263	-1.1744	27607	-3.6115e-002	1.1083	-778.13	-166.	1.9634e-002	
60	1	3.5258e-002	103.77	-43.489	-1.1885	27363	-3.5961e-002	1.0942	12.371	-159.49	2.0201e-002	
61	1	3.5802e-002	91.562	-53.415	-1.2023	27075	-3.5691e-002	1.0803	-126.72	-191.14	2.073e-002	
62	1	3.6343e-002	-212.81	-39.507	-1.2159	26822	-3.5407e-002	1.0666	-129.2	-281.82	2.1252e-002	
63	1	3.6882e-002	328.52	8.7263	-1.2295	26596	-3.51e-002	1.053	138.55	-396.34	2.1766e-002	
64	1	3.7422e-002	-452.12	115.69	-1.243	26124	-3.4628e-002	1.0394	-1889.1	-428.89	2.2194e-002	
65	1	3.796e-002	403.34	278.71	-1.2563	25718	-3.4355e-002	1.026	390.45	-317.2	2.2653e-002	
66	1	3.8493e-002	566.32	436.75	-1.2695	25242	-3.4105e-002	1.0129	-329.1	-132.79	2.31e-002	
67	1	3.9021e-002	697.24	511.37	-1.2823	24593	-3.3828e-002	1.	316.22	-0.493	2.3504e-002	
