	Steps	Time [s]	[A] Acceleration Y on Body-1 - 1 Node - Tip [m/s²]	[B] Acceleration Y on Body-1 - 1 Node - Tip [Filtered] [m/s²]	[C] Position Y on Body-1 - 1 Node-Tip [m]	[D] Kinetic Energy on Body-1-Flare-1 - 2 Bodies [J]	[E] Position Z on Body-1 - 1 Node-Tip [m]	[F] Position Y on Body-1 - 1 Node-Tail [m]	[G] Acceleration Z on Body-1 - 1 Node - Tip [m/s²]	[H] Acceleration Z on Body-1 - 1 Node - Tip [Filtered] [m/s²]	[I] Position Z on Body-1 - 1 Node-Tail [m]	
1	1	0.	0.	58.593	1.048e-002	76973	-4.3477e-004	2.2981	0.	-48.875	-2.4816e-003	
2	1	1.5025e-003	531.97	293.37	-5.3058e-002	75881	-7.7994e-003	2.2346	307.31	317.99	-1.0075e-002	
3	1	3.0075e-003	457.18	475.86	-0.11609	74636	-1.4796e-002	2.1716	616.18	636.67	-1.7764e-002	
4	1	4.2916e-003	475.06	593.35	-0.16955	72881	-2.1022e-002	2.1181	1174.	787.78	-2.4059e-002	
5	1	5.4241e-003	727.13	667.75	-0.21609	71198	-2.6355e-002	2.0715	472.23	758.78	-2.97e-002	
6	1	6.4275e-003	748.89	696.97	-0.2568	69250	-3.0479e-002	2.0308	628.94	637.27	-3.4954e-002	
7	1	7.3436e-003	662.2	683.68	-0.29352	68006	-3.3863e-002	1.994	585.05	497.64	-3.987e-002	
8	1	8.2384e-003				66682						
9	1	8.2384e-003	611.07	658.36	-0.32911		-3.714e-002	1.9584	477.07	380.28	-4.4556e-002	
10	1	9.0936e-003	649.72	647.01	-0.36273	65060	-4.0191e-002	1.9247	-94.027	340.29	-4.8996e-002	
11	1	9.8833e-003				63543						
12	1	9.8834e-003	647.61	646.92	-0.39339		-4.2739e-002	1.894	637.48	380.53	-5.3114e-002	
13	1	1.0617e-002	618.5	635.85	-0.42155	62018	-4.4854e-002	1.8658	528.44	411.49	-5.6923e-002	
