	Steps	Time [s]	[A] Acceleration Y on Body-1 - 1 Node - Tip [m/s²]	[B] Acceleration Y on Body-1 - 1 Node - Tip [Filtered] [m/s²]	[C] Position Y on Body-1 - 1 Node-Tip [m]	[D] Kinetic Energy on Body-1-Flare-1 - 2 Bodies [J]	[E] Position Z on Body-1 - 1 Node-Tip [m]	[F] Position Y on Body-1 - 1 Node-Tail [m]	[G] Acceleration Z on Body-1 - 1 Node - Tip [m/s²]	[H] Acceleration Z on Body-1 - 1 Node - Tip [Filtered] [m/s²]	[I] Position Z on Body-1 - 1 Node-Tail [m]	
1	1	0.	0.	123.36	1.048e-002	76185	-4.3477e-004	2.2981	0.	168.98	-2.4816e-003	
2	1	1.5025e-003	532.07	295.82	-5.306e-002	75110	-4.1028e-003	2.2346	288.89	153.47	-6.287e-003	
3	1	3.0257e-003	556.61	436.74	-0.11683	73770	-7.6048e-003	2.1708	-151.22	151.92	-1.019e-002	
4	1	4.3538e-003	407.41	526.02	-0.17209	72089	-1.1047e-002	2.1155	750.55	161.52	-1.3304e-002	
5	1	5.5262e-003	968.2	558.27	-0.22026	70327	-1.4314e-002	2.0673	-439.31	182.33	-1.5976e-002	
6	1	6.5632e-003	487.15	543.96	-0.26229	68438	-1.7053e-002	2.0253	384.74	215.8	-1.8407e-002	
7	1	7.487e-003	353.	510.71	-0.29925	66847	-1.9133e-002	1.9883	261.48	253.48	-2.071e-002	
8	1	8.355e-003	193.81	488.71	-0.33367		-2.0962e-002	1.9538	286.29	278.46	-2.2922e-002	
9	1	8.355e-003				65992						
10	1	9.1807e-003	620.45	490.02	-0.36614		-2.2588e-002	1.9213	319.33	275.64	-2.505e-002	
11	1	9.1807e-003				64404						
12	1	9.9467e-003	511.7	507.45	-0.3959	63072	-2.3862e-002	1.8915	409.36	235.84	-2.7073e-002	
13	1	1.0645e-002	824.21	531.36	-0.42273	61638	-2.4831e-002	1.8646	334.69	161.56	-2.8941e-002	
14	1	1.1303e-002	256.52	563.25	-0.44774	60506	-2.569e-002	1.8395	24.172	73.942	-3.0692e-002	
